,id,mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
85,86,12,58,29,1,1,1,0,6,1,27,1,1,1,8,74,15,2,15,841,1,6,0,1,0,0,0,1
86,87,8,52,36,1,1,0,0,2,2,22,2,1,1,0,0,0,3,0,1296,1,2,0,0,0,0,0,0
87,88,9,42,46,1,1,1,1,10,5,22,5,1,1,12,66,24,4,10,2116,1,10,0,1,0,0,0,1
88,89,10,58,30,0,0,0,0,5,3,19,3,1,1,0,0,0,3,0,900,1,5,0,1,0,0,0,0
89,90,9,49,39,1,1,1,0,12,3,20,3,1,1,12,68,19,4,12,1521,1,12,0,0,0,0,0,1
90,91,12,54,33,1,1,1,0,17,2,25,2,1,1,5,78,23,2,17,1089,1,17,0,0,0,0,0,1
91,92,11,69,18,0,1,0,0,10,1,17,1,1,1,0,0,0,4,0,324,1,10,0,1,0,0,0,0
92,93,2,60,28,1,1,1,1,11,2,22,2,1,1,5,82,22,4,12,784,1,11,0,0,1,1,0,1
93,94,11,64,24,0,0,0,0,7,1,21,1,1,1,0,0,0,4,0,576,1,7,1,0,0,0,0,0
94,95,5,63,25,1,1,1,0,10,3,18,3,1,1,10,87,24,3,16,625,1,10,0,1,0,1,0,1
97,98,8,65,23,0,1,0,0,7,2,16,2,1,1,0,0,0,4,0,529,1,7,0,0,0,0,0,0
98,99,8,63,25,0,1,0,0,10,2,16,2,1,1,0,0,0,3,0,625,1,10,0,0,0,0,0,0
99,100,6,49,39,1,1,1,0,12,6,17,6,1,1,3,66,16,4,12,1521,1,12,0,0,0,1,0,1
100,101,7,51,37,1,1,1,1,20,2,30,2,1,1,10,79,28,2,20,1369,1,20,0,0,0,0,0,1
101,102,6,56,32,1,0,1,1,13,1,28,1,1,1,7,82,26,3,17,1024,1,13,0,0,1,1,0,1
102,103,7,41,47,1,0,0,0,4,5,22,5,1,1,4,62,20,2,0,2209,1,4,1,0,0,0,0,1
103,104,5,49,39,1,1,1,1,14,4,21,4,1,1,6,70,21,4,16,1521,1,14,0,1,0,1,0,1
105,106,9,57,31,0,0,0,0,12,3,20,3,1,1,2,77,19,4,12,961,1,12,0,0,1,0,0,1
107,108,8,48,40,1,1,1,0,5,7,19,5,1,1,9,66,18,4,0,1600,1,5,1,0,0,0,0,1
109,110,5,57,31,1,1,1,0,12,3,20,3,1,1,2,86,28,3,17,961,1,12,0,0,1,1,0,1
110,111,12,50,38,1,1,1,0,7,1,22,1,1,1,12,80,30,4,10,1444,1,7,1,0,0,0,0,1
112,113,6,60,28,1,1,1,0,12,1,21,1,1,1,0,0,0,3,0,784,1,12,0,0,1,1,0,0
113,114,9,45,43,1,1,1,0,10,4,18,3,1,1,8,71,25,4,7,1849,1,10,0,1,0,0,0,1
114,115,12,63,25,1,1,1,0,7,1,16,1,1,1,0,0,0,4,0,625,1,7,0,0,1,0,0,0
115,116,5,67,21,1,1,1,0,10,1,17,1,1,1,0,0,0,1,0,441,1,10,0,1,0,1,0,0
116,117,6,47,41,1,1,1,1,18,3,27,3,1,1,1,73,25,4,17,1681,1,18,0,0,1,1,0,1
117,118,11,48,40,1,1,1,1,12,3,23,3,1,1,12,70,22,2,15,1600,1,12,0,0,0,0,0,1
118,119,9,63,25,0,1,0,0,6,3,19,3,1,1,1,87,23,5,7,625,1,6,0,0,0,0,0,1
119,120,9,53,35,1,1,1,0,12,2,20,2,1,1,6,71,17,2,15,1225,1,12,0,0,0,0,0,1
121,122,4,59,29,1,1,1,1,0,1,25,1,1,1,0,0,0,2,0,841,1,0,0,0,0,1,1,0
122,123,10,64,24,1,1,0,0,12,2,18,2,1,1,7,88,23,4,14,576,1,12,0,0,0,0,0,1
125,126,11,62,26,1,1,0,0,10,2,18,2,1,1,8,88,25,6,9,676,1,10,0,1,0,0,0,1
126,127,6,51,37,1,1,1,1,12,3,24,3,1,1,3,78,26,4,0,1369,1,12,0,1,0,1,0,1
127,128,11,61,27,1,1,0,0,12,2,22,2,1,1,0,0,0,2,0,729,1,12,1,0,0,0,0,0
128,129,7,62,26,1,1,0,0,12,2,21,2,1,1,5,86,23,4,10,676,1,12,0,1,0,0,0,1
129,130,7,54,34,1,1,1,0,15,1,22,1,1,1,0,0,0,2,0,1156,1,15,0,1,0,0,0,0
130,131,10,54,34,1,1,1,0,9,6,15,6,1,1,2,70,15,6,12,1156,1,9,0,0,1,0,0,1
131,132,11,51,37,1,1,1,0,12,3,22,3,1,1,9,73,21,3,10,1369,1,12,0,1,0,0,0,1
133,134,3,53,35,1,1,1,0,12,3,24,3,1,1,4,82,29,3,10,1225,1,12,0,0,1,1,0,1
134,135,6,66,22,1,1,1,0,7,1,19,1,1,1,0,0,0,3,0,484,1,7,0,1,0,1,0,0
135,136,2,40,48,1,1,1,0,6,10,16,9,1,1,6,56,16,4,7,2304,1,6,1,0,0,1,0,1
136,137,6,59,29,1,1,1,0,12,4,19,4,1,1,7,87,28,4,15,841,1,12,1,0,0,1,0,1
137,138,3,65,23,1,1,1,0,5,1,18,1,1,1,0,0,0,4,0,529,1,5,0,1,0,1,0,0
138,139,4,59,29,1,1,1,1,12,2,26,2,1,1,4,84,25,3,13,841,1,12,0,1,0,1,0,1
139,140,12,66,21,1,1,1,1,12,2,19,2,1,1,1,86,19,3,10,441,1,12,0,0,0,0,0,1
141,142,11,45,43,1,1,0,0,7,2,23,2,1,1,6,66,20,4,15,1849,1,7,0,1,0,0,0,1
142,143,10,65,23,1,1,1,1,7,1,19,1,1,1,0,0,0,3,0,529,1,7,1,0,0,0,0,0
144,145,4,62,26,1,1,1,0,12,1,21,1,1,1,6,82,20,4,12,676,1,12,0,1,0,1,0,1
146,147,2,64,24,0,1,0,0,12,1,18,1,1,1,11,85,21,3,12,576,1,12,0,1,0,1,0,1
147,148,5,53,35,1,1,1,1,14,3,24,3,1,1,4,81,27,3,14,1225,1,14,1,0,0,1,0,1
150,151,7,54,34,1,1,1,1,12,1,30,1,1,1,0,0,0,2,0,1156,1,12,0,1,0,0,0,0
151,152,8,63,25,1,1,1,1,12,1,24,1,1,1,0,0,0,5,0,625,1,12,0,0,1,0,0,0
152,153,7,63,25,1,1,0,0,5,1,18,1,1,1,0,0,0,5,0,625,1,5,1,0,0,0,0,0
154,155,5,52,36,1,1,1,0,12,3,22,3,1,1,5,73,21,3,12,1296,1,12,1,0,0,1,0,1
155,156,10,60,28,1,1,1,0,16,2,21,1,1,1,6,83,22,3,10,784,1,16,0,1,0,0,0,1
156,157,3,60,28,1,1,0,0,12,2,23,2,1,1,7,81,21,2,12,784,1,12,0,0,1,1,0,1
157,158,8,47,41,1,1,1,1,12,3,17,3,1,1,9,64,17,3,12,1681,1,12,0,0,1,0,0,1
158,159,8,57,31,1,0,1,1,12,1,27,1,1,1,12,78,21,1,12,961,1,12,0,0,1,0,0,1
159,160,9,40,48,1,1,1,0,12,2,21,2,1,1,9,60,20,2,12,2304,1,12,0,1,0,0,0,1
160,161,6,59,29,1,1,1,1,12,2,18,2,1,1,12,76,17,2,12,841,1,12,0,0,1,1,0,1
161,162,5,44,44,1,1,0,0,5,1,28,1,1,0,3,78,33,11,0,1936,1,5,0,0,1,1,0,1
162,163,10,53,35,1,1,1,1,12,3,22,3,1,1,11,72,19,3,12,1225,1,12,0,0,0,0,0,1
163,164,2,66,22,0,0,0,0,7,2,18,2,1,1,0,0,0,4,0,484,1,7,0,0,0,1,0,0
164,165,2,61,27,0,0,0,0,7,3,19,2,1,1,0,0,0,4,0,729,1,7,1,0,0,1,0,0
166,167,9,48,40,1,1,1,0,16,2,30,2,1,1,4,78,29,2,14,1600,1,16,0,0,0,0,0,1
167,168,11,45,42,1,1,1,0,16,1,35,1,1,0,9,80,34,2,16,1764,1,16,0,0,0,0,0,1
168,169,8,39,49,1,1,1,0,15,2,22,2,1,1,3,86,46,4,15,2401,1,15,0,1,0,0,0,1
169,170,7,65,23,0,0,0,0,7,1,20,1,1,1,0,0,0,4,0,529,1,7,1,0,0,0,0,0
170,171,8,56,32,1,1,1,1,12,2,24,2,1,1,12,79,23,4,12,1024,1,12,0,0,1,0,0,1
171,172,8,62,26,1,1,1,1,10,1,16,1,1,1,1,85,22,1,10,676,1,10,0,0,1,0,0,1
172,173,6,63,25,1,1,1,1,7,1,21,1,1,1,7,86,23,4,0,625,1,7,0,0,0,1,0,1
173,174,9,63,25,1,1,1,0,9,2,19,2,1,1,4,85,21,5,10,625,1,9,1,0,0,0,0,1
174,175,9,68,20,1,1,0,0,10,1,19,1,1,1,4,85,16,2,14,400,1,10,0,1,0,0,0,1
176,177,5,54,34,1,1,1,0,12,4,17,4,1,1,6,75,21,4,12,1156,1,12,1,0,0,1,0,1
177,178,6,43,45,1,1,1,1,5,5,22,5,1,1,10,64,21,3,7,2025,1,5,0,0,0,1,0,1
178,179,8,65,23,1,1,1,1,9,1,20,1,0,0,11,82,17,10,0,529,1,9,0,0,0,0,0,1
179,180,9,66,22,1,1,1,1,9,2,16,2,1,1,1,82,15,2,9,484,1,9,0,0,0,0,0,1
181,182,7,43,45,1,1,1,0,9,3,26,3,0,0,8,70,27,3,10,2025,1,9,1,0,0,0,0,1
183,184,12,59,28,0,0,0,0,3,2,19,2,1,1,0,0,0,4,0,784,1,3,0,0,0,0,0,0
184,185,3,65,23,0,1,0,0,11,1,21,1,1,1,1,85,19,4,10,529,1,11,0,1,0,1,0,1
185,186,2,59,29,0,1,0,0,0,1,19,1,1,1,0,0,0,6,0,841,1,0,0,0,0,1,1,0
187,188,4,61,27,0,0,0,0,10,1,21,1,1,1,0,0,0,3,0,729,1,10,0,1,0,1,0,0
188,189,5,55,33,0,0,0,1,9,4,22,4,1,1,6,76,21,5,10,1089,1,9,1,0,0,1,0,1
190,191,1,49,39,1,1,1,1,10,2,27,2,1,0,2,75,26,6,12,1521,1,10,0,0,1,1,0,1
192,193,8,58,30,1,1,1,1,16,2,27,2,1,1,6,82,23,4,10,900,1,16,0,0,1,0,0,1
195,196,6,59,29,0,0,0,0,7,2,19,2,1,1,0,0,0,4,0,841,1,7,1,0,0,1,0,0
197,198,2,51,37,1,1,1,0,10,3,22,3,1,1,8,75,24,4,10,1369,1,10,1,0,0,1,0,1
198,199,6,57,31,0,0,0,0,0,3,17,3,1,1,0,0,0,6,0,961,1,0,0,0,0,1,1,0
199,200,12,54,33,1,1,1,0,12,4,20,4,1,1,9,75,20,3,12,1089,1,12,0,1,0,0,0,1
200,201,8,66,22,0,0,0,0,0,1,18,1,1,1,0,0,0,2,0,484,1,0,0,1,0,0,1,0
201,202,12,40,47,0,1,0,0,3,9,22,9,1,1,7,78,37,10,7,2209,1,3,0,1,0,0,0,1
202,203,12,47,40,0,0,0,0,12,4,23,4,1,1,11,72,24,6,10,1600,1,12,0,1,0,0,0,1
204,205,12,61,26,0,1,0,0,7,3,18,3,1,0,12,79,18,4,7,676,1,7,0,0,0,0,0,1
205,206,6,59,29,0,1,0,0,7,1,24,1,1,1,0,0,0,2,0,841,1,7,0,0,0,1,0,0
206,207,6,56,32,0,1,0,1,6,5,16,4,1,1,1,88,31,6,0,1024,1,6,1,0,0,1,0,1
209,210,12,60,27,0,1,0,0,10,1,20,1,1,1,0,0,0,2,0,729,1,10,1,0,0,0,0,0
211,212,10,62,26,0,0,0,0,7,3,15,2,1,0,4,85,22,5,5,676,1,7,0,1,0,0,0,1
212,213,6,54,34,0,1,0,0,0,3,18,3,1,0,6,70,16,4,8,1156,1,0,0,0,0,1,1,1
214,215,6,40,48,0,1,0,0,0,9,17,3,1,1,8,56,16,5,0,2304,1,0,0,0,0,1,1,1
215,216,8,65,23,0,1,0,0,5,1,17,1,1,1,0,0,0,4,0,529,1,5,0,1,0,0,0,0
216,217,4,65,23,0,1,0,1,9,1,20,1,1,0,0,0,0,4,0,529,1,9,1,0,0,1,0,0
218,219,7,58,30,1,1,1,1,14,2,16,2,1,0,1,74,15,2,14,900,1,14,0,0,1,0,0,1
219,220,12,58,29,1,0,0,0,10,2,23,2,1,1,0,0,0,4,0,841,1,10,0,0,1,0,0,0
221,222,12,58,29,1,1,1,0,14,3,20,3,1,1,7,77,18,3,13,841,1,14,1,0,0,0,0,1
222,223,1,58,30,1,1,1,0,9,2,19,2,1,1,0,0,0,4,0,900,1,9,1,0,0,1,0,0
223,224,3,61,27,1,1,1,1,12,2,17,2,1,1,2,78,16,2,12,729,1,12,0,1,0,1,0,1
224,225,11,60,28,1,1,0,0,12,4,21,4,1,1,0,0,0,4,0,784,1,12,0,0,1,0,0,0
225,226,1,59,29,1,1,0,0,0,3,18,3,1,0,0,0,0,6,0,841,1,0,0,1,0,1,1,0
226,227,5,61,27,1,1,0,0,0,2,21,2,1,1,0,0,0,4,0,729,1,0,0,0,1,1,1,0
227,228,6,62,26,1,1,0,0,10,3,19,3,1,1,4,79,16,4,10,676,1,10,0,0,1,1,0,1
228,229,7,58,30,1,1,0,0,4,6,17,6,1,1,3,77,18,0,10,900,1,4,0,0,1,0,0,1
229,230,9,62,26,1,1,0,0,10,1,20,1,1,1,4,82,19,4,10,676,1,10,1,0,0,0,0,1
230,231,7,55,33,1,1,1,0,9,3,21,2,1,1,11,75,20,6,2,1089,1,9,1,0,0,0,0,1
231,232,11,55,33,1,1,0,0,10,3,23,3,1,1,0,0,0,2,0,1089,1,10,1,0,0,0,0,0
234,235,4,49,39,1,1,1,0,10,1,30,1,1,0,4,75,26,4,10,1521,1,10,1,0,0,1,0,1
235,236,6,71,17,1,1,1,0,7,1,16,1,1,0,0,0,0,4,0,289,1,7,1,0,0,1,0,0
236,237,1,66,22,1,1,0,0,0,1,20,1,1,1,0,0,0,5,0,484,1,0,0,0,0,1,1,0
238,239,12,52,35,1,1,0,0,9,4,21,3,1,1,6,75,22,4,7,1225,1,9,0,1,0,0,0,1
239,240,7,69,19,1,1,0,0,4,1,16,1,1,1,0,0,0,4,0,361,1,4,1,0,0,0,0,0
240,241,4,60,28,0,1,0,0,9,4,17,4,1,1,3,83,22,6,7,784,1,9,1,0,0,1,0,1
241,242,4,66,22,0,1,0,0,8,2,17,2,1,1,4,83,17,6,10,484,1,8,0,0,1,1,0,1
242,243,10,62,26,0,1,0,0,0,3,18,3,1,1,3,82,19,5,0,676,1,0,1,0,0,0,1,1
243,244,6,50,38,0,0,0,0,6,4,15,4,1,0,1,63,12,5,2,1444,1,6,1,0,0,1,0,1
244,245,8,52,36,0,1,0,0,4,6,21,6,1,1,0,0,0,3,0,1296,1,4,0,1,0,0,0,0
245,246,6,59,29,0,1,0,0,5,4,16,3,1,1,0,0,0,6,0,841,1,5,0,1,0,1,0,0
246,247,11,60,28,1,1,0,0,10,1,22,1,1,1,0,0,0,4,0,784,1,10,0,0,1,0,0,0
248,249,9,64,24,0,1,0,0,10,1,18,1,1,1,0,0,0,4,0,576,1,10,0,0,0,0,0,0
250,251,4,66,22,0,1,0,0,10,1,21,1,1,1,0,0,0,4,0,484,1,10,0,0,0,1,0,0
251,252,7,48,40,0,1,0,0,10,1,26,1,1,0,6,81,32,4,7,1600,1,10,0,0,1,0,0,1
253,254,3,58,30,0,1,0,1,10,2,25,1,1,1,1,83,24,4,7,900,1,10,0,0,1,1,0,1
254,255,10,63,25,0,1,0,0,10,1,19,1,1,0,6,85,21,5,0,625,1,10,0,0,0,0,0,1
255,256,3,41,47,0,1,0,0,0,1,21,1,1,0,7,60,19,8,4,2209,1,0,1,0,0,1,1,1
256,257,10,50,38,1,1,1,0,12,2,22,2,1,1,1,72,21,2,12,1444,1,12,0,0,1,0,0,1
257,258,9,44,44,0,1,1,0,5,3,15,3,1,1,0,0,0,3,0,1936,1,5,0,0,1,0,0,0
258,259,5,47,41,0,1,0,1,7,4,27,4,1,1,11,85,38,6,6,1681,1,7,1,0,0,1,0,1
261,262,6,62,26,0,0,0,0,5,3,20,2,1,1,0,0,0,5,0,676,1,5,0,0,0,1,0,0
262,263,11,64,24,0,0,0,0,6,3,17,3,1,1,3,82,17,4,8,576,1,6,0,0,0,0,0,1
263,264,10,54,34,0,1,0,0,0,4,20,4,1,1,0,0,0,6,0,1156,1,0,0,0,1,0,1,0
264,265,12,53,34,0,1,0,0,7,5,15,5,1,0,0,0,0,10,0,1156,1,7,1,0,0,0,0,0
265,266,2,47,41,0,1,0,1,7,5,18,5,1,1,1,64,16,6,1,1681,1,7,0,0,1,1,0,1
266,267,3,70,18,0,1,0,1,10,1,17,1,1,0,0,0,0,5,0,324,1,10,0,0,1,1,0,0
268,269,11,40,48,0,1,0,1,4,5,18,5,1,0,10,60,19,5,0,2304,1,4,0,1,0,0,0,1
269,270,10,64,24,0,1,0,1,10,1,22,1,1,1,0,0,0,3,0,576,1,10,0,1,0,0,0,0
270,271,8,55,33,0,0,0,0,6,3,17,3,1,1,6,83,27,4,0,1089,1,6,0,1,0,0,0,1
273,274,11,53,35,0,1,0,0,6,3,23,3,1,0,0,0,0,3,0,1225,1,6,1,0,0,0,0,0
274,275,8,64,24,0,1,0,1,8,1,21,1,1,1,0,0,0,4,0,576,1,8,0,0,1,0,0,0
277,278,9,63,25,0,1,0,0,7,2,16,2,1,1,0,0,0,4,0,625,1,7,0,1,0,0,0,0
278,279,1,65,23,0,1,0,0,7,1,15,1,1,0,0,0,0,3,0,529,1,7,1,0,0,1,0,0
279,280,6,63,25,0,1,0,1,7,2,17,2,1,1,7,80,17,6,7,625,1,7,1,0,0,1,0,1
280,281,8,63,25,0,1,0,0,10,2,16,2,1,1,0,0,0,4,0,625,1,10,0,0,0,0,0,0
281,282,3,64,24,0,1,0,0,10,1,18,1,1,1,0,0,0,4,0,576,1,10,1,0,0,1,0,0
283,284,2,64,24,0,1,0,0,9,1,19,1,1,1,0,0,0,4,0,576,1,9,0,0,1,1,0,0
284,285,12,60,27,0,1,0,0,7,1,20,1,1,1,0,0,0,2,0,729,1,7,1,0,0,0,0,0
285,286,2,56,32,0,1,0,0,7,5,18,5,1,0,11,80,24,5,10,1024,1,7,0,0,1,1,0,1
286,287,9,42,46,0,1,0,1,2,6,18,5,1,1,0,0,0,2,0,2116,1,2,1,0,0,0,0,0
287,288,10,63,25,0,1,0,1,7,1,18,1,1,1,0,0,0,3,0,625,1,7,1,0,0,0,0,0
288,289,5,69,19,0,1,0,1,7,1,17,1,1,1,0,0,0,2,0,361,1,7,1,0,0,1,0,0
291,292,10,61,27,0,1,0,0,6,3,20,2,1,1,3,78,16,4,10,729,1,6,1,0,0,0,0,1
292,293,1,55,33,0,1,0,0,0,4,18,4,1,1,0,0,0,4,0,1089,1,0,1,0,0,1,1,0
293,294,7,59,29,0,0,0,0,0,4,18,4,1,1,0,0,0,3,0,841,1,0,1,0,0,0,1,0
294,295,11,64,24,0,1,0,0,9,2,20,2,1,0,0,0,0,4,0,576,1,9,1,0,0,0,0,0
295,296,1,56,32,0,1,0,0,10,3,21,3,1,1,12,77,21,4,7,1024,1,10,0,1,0,1,0,1
296,297,9,55,33,0,1,0,0,15,2,21,2,1,1,12,86,31,4,16,1089,1,15,0,1,0,0,0,1
299,300,9,64,24,0,1,1,0,14,1,23,1,1,1,1,88,23,3,14,576,1,14,1,0,0,0,0,1
300,301,3,66,22,0,1,1,0,0,1,19,1,1,0,0,0,0,4,0,484,1,0,1,0,0,1,1,0
301,302,1,65,23,0,1,1,1,10,1,20,1,1,1,5,87,22,6,12,529,1,10,0,1,0,1,0,1
303,304,2,54,34,0,1,1,1,12,3,22,3,1,1,8,74,20,4,14,1156,1,12,0,1,0,1,0,1
